Unnamed: 0,ano,id_municipio,id_escola,localizacao,rede,atu_ei,atu_ef,atu_ef_anos_iniciais,atu_ef_anos_finais,atu_em,had_ei,had_ef,had_ef_anos_iniciais,had_ef_anos_finais,had_em,tdi_ef,tdi_ef_anos_iniciais,tdi_ef_anos_finais,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_ef_anos_iniciais,taxa_aprovacao_ef_anos_finais,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_ef_anos_iniciais,taxa_reprovacao_ef_anos_finais,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,taxa_abandono_em,dsu_ei,dsu_ef,dsu_ef_anos_iniciais,dsu_ef_anos_finais,dsu_em
3101031,2018,4118501.0,41093631.0,urbana,privada,12.8,16.9,16.9,,,11.4,4.3,4.3,,,3.4,3.4,,,99.1,99.1,,,0.9,0.9,,,0.0,0.0,,,20.0,40.0,40.0,,
3101032,2018,2611606.0,26173158.0,urbana,privada,13.8,7.0,7.0,,,3.4,4.3,4.3,,,11.4,11.4,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,50.0,0.0,0.0,,
3101033,2018,1501105.0,15169855.0,rural,municipal,,18.0,,,,,,,,,47.1,47.1,,,61.8,61.8,,,38.2,38.2,,,0.0,0.0,,,,50.0,50.0,,
3101034,2018,2600401.0,26145782.0,rural,municipal,,21.0,,,,,,,,,33.3,33.3,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,
3101035,2018,2902252.0,29292662.0,rural,municipal,,15.0,,,,,,,,,70.0,70.0,,,70.0,70.0,,,20.0,20.0,,,10.0,10.0,,,,0.0,0.0,,
3101036,2018,2907202.0,29019699.0,rural,municipal,,12.0,,,,,,,,,50.0,50.0,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,
3101037,2018,3502903.0,35229349.0,urbana,municipal,,21.1,21.1,,,,4.5,4.5,,,4.0,4.0,,,93.1,93.1,,,6.9,6.9,,,0.0,0.0,,,,92.9,92.9,,
3101038,2018,2305407.0,23140267.0,urbana,municipal,,19.9,19.9,,,,4.0,4.0,,,10.1,10.1,,,92.6,92.6,,,5.9,5.9,,,1.5,1.5,,,,91.7,91.7,,
3101039,2018,2611606.0,26187833.0,urbana,privada,14.3,18.0,18.0,,,4.3,4.3,4.3,,,7.1,7.1,,,97.6,97.6,,,2.4,2.4,,,0.0,0.0,,,50.0,14.3,14.3,,
3101040,2018,3202207.0,32020902.0,urbana,municipal,,21.4,21.4,,,,4.5,4.5,,,18.3,18.3,,,93.7,93.7,,,5.4,5.4,,,0.9,0.9,,,,100.0,100.0,,
3101041,2018,3523602.0,35301127.0,urbana,municipal,27.0,21.6,21.6,,,9.0,9.0,9.0,,,0.9,0.9,,,97.4,97.4,,,2.6,2.6,,,0.0,0.0,,,100.0,91.7,91.7,,
3101042,2018,2925956.0,29107105.0,rural,municipal,18.5,24.4,24.4,,,4.0,4.0,4.0,,,15.4,15.4,,,94.8,94.8,,,2.1,2.1,,,3.1,3.1,,,100.0,85.7,85.7,,
3101043,2018,4201208.0,42002915.0,urbana,municipal,19.3,17.4,17.4,,,4.0,4.0,4.0,,,8.0,8.0,,,96.6,96.6,,,3.4,3.4,,,0.0,0.0,,,100.0,100.0,100.0,,
3101044,2018,5205521.0,52013413.0,urbana,municipal,,23.6,23.6,,,,8.0,8.0,,,3.3,3.3,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,,61.5,61.5,,
3101045,2018,4201109.0,42144507.0,urbana,municipal,15.5,14.3,14.3,,,4.0,4.0,4.0,,,17.3,17.3,,,92.7,92.7,,,7.3,7.3,,,0.0,0.0,,,75.0,70.6,70.6,,
3101046,2018,2607901.0,26172011.0,urbana,privada,8.0,6.4,6.4,,,4.3,4.3,4.3,,,0.0,0.0,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,66.7,57.1,57.1,,
3101047,2018,2512903.0,25087991.0,urbana,municipal,14.4,23.1,23.1,,,4.3,4.3,4.3,,,20.7,20.7,,,82.0,82.0,,,14.8,14.8,,,3.2,3.2,,,72.7,81.3,81.3,,
